Otu3,Otu6,Otu8,Otu22,Otu23,Otu40,Otu55,Otu61,Otu63,Otu70,Otu92,Otu105,Otu108,Otu112,Otu122,Otu124,Otu145,Otu212,Otu217,Otu290,class
0,0,0.446137,0,0.004897,0,0.005985,0,0.075082,0,0.194777,0.0642,0,0.054407,0.099021,0,0,0.001088,0,0.054407,F
0,0.001332,0.313582,0,0.003329,0.055704,0.035508,0,0.154461,0.062583,0.014647,0.255215,0.001997,0.007324,0.035064,0,0.047048,0.000222,0.00111,0.010874,M
0,0.066427,0.10772,0.003591,0.56912,0,0.001795,0,0,0,0.003591,0.010772,0.184919,0.001795,0,0.001795,0.003591,0.043088,0,0.001795,F
0.01029,0.020579,0.316311,0,0.066311,0.199695,0.049543,0.000762,0.026677,0.179116,0.024009,0,0.001524,0.057546,0.004573,0,0.036585,0.000381,0,0.006098,M
0,0.129032,0.258065,0.16129,0,0,0.032258,0,0,0,0,0.064516,0.096774,0,0,0,0,0.129032,0,0.129032,M
0,0.252632,0.326316,0.042105,0.063158,0,0.021053,0,0.021053,0,0,0,0.042105,0.042105,0,0,0,0.189474,0,0,M
0.014085,0.017606,0.415493,0.021127,0.017606,0,0.014085,0.024648,0.007042,0,0.25,0,0.003521,0,0,0,0,0.214789,0,0,F
0.000188,0.020853,0.42476,0.139395,0.013714,0,0.007327,0.005448,0.017471,0.000939,0.071952,0.079842,0.001127,0.178659,0.0062,0.024047,0,0.002442,0.000564,0.005072,F
0.002913,0.004578,0.694132,0.000416,0.104453,0,0.02164,0,0.007074,0.002497,0.037037,0.020807,0,0.041199,0.007907,0,0.043695,0,0.006658,0.004994,M
0.006936,0.13526,0.301734,0,0.013873,0.104046,0.001156,0,0.243931,0.012717,0.018497,0.009249,0.115607,0.008092,0,0.011561,0,0.013873,0,0.003468,F
0.021182,0,0.618729,0,0.033445,0,0,0,0,0,0.022297,0.103679,0,0,0,0,0,0.071349,0,0.12932,M
0.006216,0.107335,0.307087,0.005802,0.428512,0.017406,0.022379,0.001658,0.009946,0.002901,0.033568,0.006631,0.00746,0.002072,0.002901,0.000829,0.034397,0.001658,0.000414,0.000829,M
0,0.038961,0.266234,0,0.603896,0,0.006494,0.012987,0,0,0.006494,0,0,0,0.006494,0.045455,0,0,0,0.012987,M
0.013201,0.026403,0.019802,0.006601,0.0033,0.006601,0.155116,0,0.016502,0.023102,0,0,0.481848,0,0.013201,0,0.128713,0,0.075908,0.029703,M
0.00289,0.00578,0.00578,0.031792,0.011561,0.031792,0.132948,0,0.184971,0.127168,0.225434,0.060694,0,0,0.095376,0,0,0.078035,0,0.00578,M
0.00148,0.252406,0.353072,0,0.005922,0.048113,0,0,0.00074,0.00074,0.142117,0.045892,0.00074,0.00074,0.004441,0.046632,0.094745,0.002221,0,0,F
0.01178,0.006545,0.265707,0.001309,0,0.001309,0.020942,0.013089,0.486911,0,0.065445,0,0,0.043194,0.013089,0,0,0.015707,0.001309,0.053665,M
0.175018,0.000549,0.541697,0,0.000183,0.188003,0.000183,0,0,0.005486,0.022677,0.000732,0.032919,0.00128,0.011156,0.000366,0,0.003292,0.007864,0.008595,M
0.404339,0,0.003945,0.005917,0.005917,0.019724,0,0.021696,0.076923,0.005917,0.086785,0.074951,0.134122,0,0,0.12426,0,0,0,0.035503,M
0,0.000926,0.391667,0,0.000463,0,0.17963,0,0,0.04213,0.014815,0.005556,0.132407,0.103704,0,0,0,0.000463,0.024074,0.104167,M
0.003247,0.008658,0.229437,0,0.001082,0.091991,0.228355,0.00974,0.018398,0.055195,0.068182,0.001082,0,0.006494,0.010823,0,0.261905,0.003247,0.002165,0,M
0.001331,0.825682,0.115768,0,0.018629,0,0,0,0.003327,0,0.001996,0,0,0,0,0,0,0.030605,0.002661,0,M
0.666667,0,0,0.111111,0.111111,0,0,0,0,0,0.111111,0,0,0,0,0,0,0,0,0,F
0,0.040984,0.221311,0,0.598361,0,0,0,0,0,0,0,0,0,0,0,0,0.139344,0,0,M
0,0.001371,0.023306,0.000392,0.275362,0,0,0,0,0,0.112808,0.010772,0.001371,0,0,0.536819,0,0.010967,0.026831,0,F
0,0.939597,0.033557,0,0,0,0,0,0.006711,0,0,0,0.013423,0,0,0,0.006711,0,0,0,M
0.000166,0,0.473238,0,0.291057,0,0.224235,0.000166,0,0,0.001995,0,0,0,0,0,0,0.00748,0,0.001662,M
0,0.009464,0.381703,0,0.309148,0,0,0,0,0.003155,0.037855,0,0,0.088328,0,0.053628,0,0.113565,0.003155,0,F
0.117647,0.343137,0.254902,0.137255,0.019608,0.009804,0.009804,0,0.009804,0.009804,0.029412,0.019608,0.009804,0.009804,0,0.009804,0,0,0,0.009804,M
0,0.056738,0.231206,0,0,0.190071,0.009929,0,0.065248,0.028369,0.041135,0.014184,0.004255,0.031206,0.01844,0.004255,0.29078,0.004255,0.008511,0.001418,M
0.002464,0.000758,0.866186,0,0.054208,0,0.00019,0.00019,0,0,0.057809,0.00019,0,0,0.00019,0,0.000379,0.017437,0,0,M
