Otu9,Otu11,Otu34,Otu36,Otu39,Otu66,Otu72,Otu74,Otu91,Otu100,Otu134,Otu135,Otu139,Otu145,Otu149,Otu156,Otu188,Otu245,Otu246,Otu256,Otu257,Otu282,Otu292,Otu314,Otu316,Otu318,Otu354,Otu364,Otu370,Otu425,Otu436,Otu443,Otu468,Otu501,Otu513,Otu540,Otu596,Otu603,Otu702,Otu1029,class
0.001167,0,0,0.000389,0.000389,0.268093,0.000778,0.002724,0.032296,0.000389,0.354475,0,0,0.010117,0.019066,0.059533,0.101946,0.007393,0,0.068872,0.021012,0.000389,0.002724,0,0.000389,0,0.006615,0.000389,0.025681,0.005058,0,0,0.001556,0.002335,0.005447,0,0,0,0.000778,0,Germany
0.001823,0,0,0.015796,0.015796,0,0.003645,0,0.047388,0.001215,0.283718,0,0.060753,0,0,0.094168,0.238153,0,0,0.159781,0.001215,0.009721,0,0,0,0,0,0,0.040705,0,0,0.001823,0,0,0.013366,0.003645,0,0,0.00729,0,Germany
0.03367,0,0.021886,0,0.146465,0.001684,0.001684,0,0.232323,0.001684,0.234007,0.006734,0,0,0,0.055556,0,0.058923,0.001684,0,0.001684,0,0,0,0,0.021886,0,0.003367,0,0,0.082492,0,0.060606,0.02862,0,0,0,0.003367,0,0.001684,Germany
0.032,0,0,0.0928,0,0.0032,0,0.1056,0.0128,0,0.0544,0,0,0.0896,0.048,0.208,0,0.0064,0,0,0,0,0.0016,0.0432,0.0288,0,0.0528,0,0.0304,0,0,0,0.0256,0.0832,0.0224,0,0,0.0448,0.0144,0,Germany
0.002102,0.445336,0,0.000573,0.000765,0.176414,0.000382,0,0.009939,0.001147,0.174694,0,0,0.021216,0,0.004587,0.038417,0.004014,0,0.007072,0.015864,0.027141,0.000956,0.017202,0,0,0.004778,0,0.012997,0.005734,0.009557,0,0,0,0.001911,0,0,0.003823,0.012997,0.000382,Germany
0.231496,0,0,0,0.012598,0.061417,0.194488,0,0.002362,0.000787,0.075591,0,0,0,0.158268,0.017323,0.015748,0.014173,0,0.010236,0.005512,0,0.007874,0.013386,0.023622,0,0.034646,0,0.007087,0,0.033858,0,0.074016,0.001575,0,0,0,0,0.003937,0,Germany
0,0,0,0,0,0.142857,0,0,0,0,0,0.714286,0,0,0,0,0.142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Germany
0.278992,0,0.003361,0.078992,0,0,0,0.047059,0.007283,0,0.038095,0.002801,0.00112,0,0,0.014006,0.010084,0.008403,0.359104,0.001681,0.012325,0.019608,0.00112,0.028011,0,0,0,0,0.00112,0.00056,0.053782,0,0.006162,0,0.022409,0,0.00056,0,0.003361,0,Germany
0.00148,0.005922,0,0.00148,0,0.085122,0,0.00148,0,0.002221,0.003701,0.00148,0.867506,0,0,0,0.00074,0,0,0,0,0,0,0,0,0,0.027387,0,0.00148,0,0,0,0,0,0,0,0,0,0,0,Germany
0.104527,0,0,0.01893,0,0.001646,0,0,0.014815,0.004115,0.002469,0,0,0.231276,0.120988,0.036214,0.017284,0.044444,0.055967,0.001646,0.00823,0.021399,0.006584,0.003292,0.015638,0,0.047737,0,0.001646,0.021399,0.012346,0,0.04856,0,0.037037,0,0.006584,0.111934,0.002469,0.000823,Germany
